V [mL];0.1 M TRIS - 5 mL in 60 mL H2O TitrationEQP1 E
1.6;24.37
1.62;23.99
1.64;23.62
1.66;21.98
1.68;20.6
1.7;21.3
1.72;21.22
1.74;20.93
1.76;21.27
1.78;21.99
1.8;23.32
1.82;23.09
1.84;21.47
1.86;20.99
1.88;20.44
1.9;20.5
1.92;19.92
1.94;21.25
1.96;22.61
1.98;22
2;21.35
2.02;18.86
2.04;18.86
2.06;19.78
2.08;21.77
2.1;22.49
2.12;23.15
2.14;22.26
2.16;21.57
2.18;19.99
2.2;18.68
2.22;19.3
2.24;18.12
2.26;17.22
2.28;17.21
2.3;18.62
2.32;21.1
2.34;21.84
2.36;21.78
2.38;21.32
2.4;19.7
2.42;19.51
2.44;20.01
2.46;19.4
2.48;19.57
2.5;19.81
2.52;18.85
2.54;19.35
2.56;18.42
2.58;19.4
2.6;20.34
2.62;21.06
2.64;21.2
2.66;21.58
2.68;21.35
2.7;19.39
2.72;18.96
2.74;18.73
2.76;20.49
2.78;21.01
2.8;20.28
2.82;20.25
2.84;20.48
2.86;20.19
2.88;20.56
2.9;21.23
2.92;22.27
2.94;21.63
2.96;20.45
2.98;19.64
3;20.31
3.02;20.19
3.04;20.74
3.06;21.54
3.08;21.22
3.1;22.09
3.12;20.93
3.14;21.28
3.16;21.51
3.18;21.12
3.2;22.36
3.22;22.83
3.24;22.39
3.26;21.78
3.28;22.07
3.3;21.87
3.32;22.3
3.34;22.04
3.36;21.83
3.38;23.3
3.4;23.32
3.42;23.69
3.44;24.79
3.46;25.37
3.48;23.92
3.5;24.09
3.52;22.36
3.54;23.16
3.56;24.54
3.58;26.27
3.6;26.81
3.62;26.57
3.64;25.97
3.66;25.76
3.68;25.18
3.7;24.63
3.72;27.08
3.74;28.81
3.76;28.8
3.78;27.24
3.8;26.71
3.82;27.46
3.84;27.43
3.86;28.84
3.88;29.99
3.9;30.21
3.92;29.59
3.94;29.21
3.96;30.14
3.98;31.28
4;32.05
4.02;32.74
4.04;33.01
4.06;33.36
4.08;32.63
4.1;32.88
4.12;33.82
4.14;34.64
4.16;36.99
4.18;38.59
4.2;40.02
4.22;40.56
4.24;40.57
4.26;39.41
4.28;39.92
4.3;41.47
4.32;42.46
4.34;43.68
4.36;45.5
4.38;48.31
4.4;49.99
4.42;50.8
4.44;51.76
4.46;52.37
4.48;54.8
4.5;55.92
4.52;58.98
4.54;61.51
4.56;63.2
4.58;65.21
4.6;68.22
4.62;71.99
4.64;73.55
4.66;77.73
4.68;81.32
4.7;87.03
4.72;93.13
4.74;101.1
4.76;110.32
4.78;120.34
4.8;125.18
4.82;133.18
4.84;149.09
4.86;170.76
4.88;189.08
4.9;217.54
4.92;242.31
4.94;279.19
4.96;489.6
4.98;795.76
5;1081.22
5.02;1232.61
5.04;1200.42
5.06;993.45
5.08;690.64
5.1;387.51
5.12;217.08

